Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.48,Knopf Doubleday,Hardcover,303,2024,2024,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#1), to-read (#210)",to-read,,,,0,0
49236083,Boulder,Eva Baltasar,"Baltasar, Eva",Nicole d'Amonville Alegría,"=""8439736967""","=""9788439736967""",0,3.92,Literatura Random House,Paperback,128,2020,2020,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#3), to-read (#209)",to-read,,,,0,0
199798201,The Safekeep,Yael van der Wouden,"Wouden, Yael van der",,"=""1668034344""","=""9781668034347""",0,4.08,Avid Reader Press / Simon & Schuster,Hardcover,272,2024,2024,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#4), to-read (#208)",to-read,,,,0,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.58,Atlantic Monthly Press,Hardcover,207,2023,2023,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#5), to-read (#207)",to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.20,Knopf,Hardcover,331,2024,2024,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#6), to-read (#206)",to-read,,,,0,0
181109993,Evenings and Weekends,Oisín McKenna,"McKenna, Oisín",,"=""0063319977""","=""9780063319974""",0,3.79,Mariner Books,Hardcover,352,2024,2024,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#7), to-read (#205)",to-read,,,,0,0
54785501,Last Summer in the City,Gianfranco Calligarich,"Calligarich, Gianfranco","André Aciman, Howard Curtis","=""0374600155""","=""9780374600150""",0,3.66,"Farrar, Straus and Giroux",Hardcover,192,2021,1970,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#8), to-read (#204)",to-read,,,,0,0
58877223,Kairos,Jenny Erpenbeck,"Erpenbeck, Jenny",,"=""332860085X""","=""9783328600855""",0,3.37,Penguin Verlag,Hardcover,379,2021,2021,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#9), to-read (#203)",to-read,,,,0,0
27793819,Madonna in a Fur Coat,Sabahattin Ali,"Ali, Sabahattin","Maureen Freely, Alexander Dawe","=""014198127X""","=""9780141981277""",0,4.38,Penguin,Kindle Edition,168,2016,1943,,2025/04/03,"jack-s-6-star, to-read","jack-s-6-star (#10), to-read (#202)",to-read,,,,0,0
61273347,A Death at the Party,Amy Stuart,"Stuart, Amy",,"=""1668009102""","=""9781668009109""",0,3.56,Simon & Schuster,Paperback,304,2023,2023,,2025/06/10,to-read,to-read (#201),to-read,,,,0,0
56769614,Poison for Breakfast,Lemony Snicket,"Snicket, Lemony",,"=""1324090626""","=""9781324090625""",0,3.85,Liveright,Hardcover,158,2021,2021,,2025/06/09,to-read,to-read (#200),to-read,,,,0,0
232610187,一份值得熱愛的工作……在哪裡？: 「人生學校」的職涯新提案，錢和快樂一起賺！ (職場方舟) (Traditional Chinese Edition),人生學校,"人生學校, 人生學校",謝慈,"=""6267596605""","=""9786267596609""",3,3.00,方舟文化,Kindle Edition,151,2025,,,2025/06/09,,,read,,,,1,0
219876684,The Answer Is No,Fredrik Backman,"Backman, Fredrik",Elizabeth DeNoma,"=""1662526520""","=""9781662526527""",0,3.93,Amazon Original Stories ,Kindle Edition,68,2024,2024,,2025/06/09,currently-reading,currently-reading (#26),currently-reading,,,,1,0
234117959,一條命值多少？人命的價值誰能決定,Jenny Kleeman,"Kleeman, Jenny","珍妮．克利曼, 韓翔中","=""6264194131""","=""9786264194136""",0,4.07,時報出版,Kindle Edition,321,2025,,,2025/06/09,currently-reading,currently-reading (#25),currently-reading,,,,1,0
9278897,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,"Ferriss, Timothy",,"=""0091929113""","=""9780091929114""",0,3.91,Vermilion,Paperback,396,2011,2007,,2025/06/05,to-read,to-read (#199),to-read,,,,0,0
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",,"=""0743200403""","=""9780743200400""",0,4.28,Simon & Schuster,Paperback,304,2000,1988,,2025/06/05,to-read,to-read (#198),to-read,,,,0,0
42366547,The Disaster Tourist,Yun Ko-eun,"Ko-eun, Yun",Lizzie Buehler,"=""1640094164""","=""9781640094161""",0,3.36,Counterpoint,Paperback,200,2020,2013,,2025/06/04,to-read,to-read (#197),to-read,,,,0,0
36911680,The Saturday Night Ghost Club,Craig Davidson,"Davidson, Craig",,"=""0735274827""","=""9780735274822""",0,3.83,Knopf Canada,Hardcover,253,2018,2018,,2025/06/03,to-read,to-read (#196),to-read,,,,0,0
209891406,Our Evenings,Alan Hollinghurst,"Hollinghurst, Alan",,"=""0593243064""","=""9780593243060""",0,3.95,Random House,Hardcover,496,2024,2024,,2025/06/03,to-read,to-read (#195),to-read,,,,0,0
199349912,The Coin,Yasmin Zaher,"Zaher, Yasmin",,"=""1646222105""","=""9781646222100""",0,3.48,Catapult,Hardcover,240,2024,2024,,2025/06/03,to-read,to-read (#194),to-read,,,,0,0
